time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.000,106.58,162.608,131.553,176.154,858.978,898.022,792.112,938.26,800.89,991.16,801.346,1002.855,806.191,1004.049,802.808,998.26,838.29,808.944,934.894,724.489,842.121,587.215,809.608,554.691,886.77,599.893,-48.494,-49.563,24.456,-2.971,108.85,50.559,129.949,58.228,129.549,54.573,129.724,52.984,160.441,153.503,273.668,297.642,416.804,422.292,432.856,424.984,485.445,507.136
0.040,124.794,151.859,59.765,140.345,815.183,901.461,757.738,938.279,800.89,991.053,802.773,1001.017,805.695,1000.424,804.257,995.558,836.6,819.133,925.483,734.443,871.096,579.947,845.456,547.813,935.13,561.635,51.768,-8.606,70.278,-3.893,109.003,52.604,128.275,59.98,129.996,57.789,128.275,55.431,160.467,153.021,282.131,297.601,439.587,392.272,461.504,384.324,486.324,481.323
0.080,142.1,123.608,50.317,99.501,824.175,902.76,759.637,937.584,801.366,980.733,796.594,988.249,805.895,986.606,806.928,983.801,835.163,831.294,909.093,768.946,882.181,584.436,861.497,553.46,956.687,549.605,55.566,18.25,56.24,0.197,105.478,57.659,125.466,66.636,129.784,66.998,125.002,65.359,160.463,153.473,295.252,308.576,462.237,346.815,491.929,328.828,491.087,426.612
0.120,159.387,96.502,147.396,142.862,892.539,875.739,896.821,818.245,920.335,830.657,930.034,829.594,938.534,838.457,928.094,839.656,838.434,828.004,888.814,805.175,881.732,633.001,847.303,608.022,934.533,558.782,19.993,20.414,67.178,122.677,97.505,213.364,108.806,229.996,109.303,228.107,105.942,221.954,163.21,165.149,317.747,323.877,476.364,318.82,505.718,290.686,508.92,379.365
0.160,150.014,73.357,166.376,138.041,912.588,879.112,917.035,864.99,907.499,897.646,898.704,899.288,899.651,903.827,900.24,903.404,843.05,828.988,867.919,852.0,810.715,688.148,786.973,663.759,869.444,631.497,13.941,3.502,93.96,100.941,145.701,149.885,159.194,168.71,151.205,166.042,139.062,159.507,169.155,168.714,328.778,333.255,476.79,308.236,503.413,282.377,523.191,361.836
0.200,126.22,74.903,140.831,110.051,905.009,865.249,878.015,846.839,897.653,886.57,902.318,905.794,910.851,910.365,908.89,905.778,847.324,828.277,878.932,868.982,743.887,736.678,718.304,692.146,727.64,715.247,8.147,-4.421,91.627,115.393,142.125,137.223,157.597,154.455,152.57,140.518,146.425,134.779,171.742,178.446,323.515,325.967,473.414,326.725,489.589,366.036,494.712,426.362
0.240,157.087,76.835,117.729,93.186,902.562,867.96,901.247,864.839,928.814,879.872,932.87,882.484,941.911,882.727,938.922,882.489,817.593,826.725,780.071,910.722,678.378,779.779,649.775,743.093,723.018,774.509,7.708,6.743,106.352,126.665,121.315,127.895,122.339,137.159,111.95,128.729,111.028,125.579,178.414,178.676,329.949,286.098,465.786,346.765,484.023,355.13,500.763,434.324
0.280,84.062,167.999,120.92,146.238,902.844,863.35,931.547,858.379,972.541,878.842,989.083,876.982,991.361,881.54,982.921,882.124,844.022,825.241,953.665,766.013,812.771,671.005,772.113,644.25,832.761,695.791,40.19,14.533,71.142,53.65,62.488,94.658,61.514,110.309,57.014,113.618,57.515,108.761,167.382,172.732,281.274,291.762,391.248,411.397,400.25,426.056,456.924,478.929
0.320,101.132,168.01,79.45,136.221,925.117,882.698,936.516,854.719,977.516,880.654,995.482,875.192,998.35,884.058,989.454,885.854,855.818,824.995,971.875,737.195,879.185,620.672,849.637,590.998,932.58,628.562,-19.3,-62.929,54.847,2.983,40.497,71.34,35.194,90.455,25.662,97.268,27.963,92.695,155.382,157.221,271.451,287.96,409.541,400.983,426.205,407.139,466.447,472.183
0.360,125.391,155.741,80.796,68.902,911.577,884.183,920.998,861.057,958.564,886.279,976.675,878.364,982.296,896.917,971.607,894.926,860.917,829.892,960.547,742.958,920.716,602.859,898.726,572.583,998.12,580.478,-17.945,-17.337,55.629,73.28,44.501,70.281,41.137,72.228,38.959,73.714,39.423,71.647,150.872,156.611,272.537,286.404,418.181,373.701,457.612,370.25,471.092,449.585
0.400,136.78,136.161,107.13,78.031,906.539,891.517,906.698,889.083,950.687,919.884,954.334,934.585,973.498,942.685,958.48,933.072,858.111,837.803,946.563,755.127,919.56,612.057,902.009,583.402,998.643,559.539,-26.271,-19.239,63.955,80.119,77.429,74.373,87.694,81.455,80.292,80.764,78.972,78.505,144.323,151.266,275.077,291.054,442.862,330.891,483.024,310.555,473.266,396.32
0.440,153.854,99.672,135.319,121.973,906.216,893.213,898.855,887.218,937.479,939.211,939.335,952.962,956.527,956.406,944.825,949.851,856.212,844.287,909.184,813.908,889.275,648.558,867.561,628.102,954.231,578.908,-28.883,-29.815,68.748,61.36,114.181,98.771,124.033,109.625,123.113,103.803,119.214,100.012,148.989,155.564,301.64,312.106,463.579,308.322,498.772,281.249,508.563,356.716
0.480,144.417,78.824,109.566,123.028,878.68,916.62,863.376,907.167,919.19,966.611,919.315,980.552,930.775,984.536,926.657,979.505,840.247,850.028,880.951,873.32,823.298,711.624,800.302,689.297,876.799,642.298,15.003,-28.146,119.407,60.647,148.966,108.964,166.403,120.224,165.017,114.656,157.822,110.976,160.496,155.832,316.004,308.567,466.863,301.493,493.785,280.427,508.918,345.394
0.520,77.349,143.515,114.788,138.693,851.233,919.987,803.512,933.596,826.138,993.239,811.65,1006.571,820.861,1008.868,825.318,1003.336,840.024,848.095,890.343,846.252,761.17,740.055,740.392,713.8,726.3,734.393,7.791,-2.064,72.03,60.205,113.521,104.121,138.465,109.858,139.608,103.379,131.355,102.768,164.211,165.007,312.911,311.27,326.588,451.145,310.168,463.264,383.4,482.28
0.560,75.364,157.243,85.578,178.776,839.235,915.383,798.479,942.66,813.416,997.199,812.183,1010.154,825.294,1011.08,828.636,1005.897,842.135,845.386,932.63,802.221,790.367,702.214,764.113,674.736,780.492,733.44,40.219,11.47,46.289,30.048,111.547,68.924,136.951,69.978,129.055,67.795,123.854,68.326,164.848,165.014,276.201,313.639,340.926,437.35,335.869,453.929,411.581,490.923
0.600,87.838,167.558,100.442,146.105,850.63,917.265,799.916,931.624,825.372,990.577,827.325,1003.024,833.043,1004.407,832.327,998.96,846.336,843.683,952.36,765.236,828.814,658.542,791.703,629.671,809.66,689.651,-12.163,-28.874,16.766,0.524,89.621,34.661,110.73,38.057,109.073,36.014,100.733,34.904,143.292,138.725,252.069,285.638,363.714,410.369,370.271,417.953,432.296,476.863
0.640,112.678,165.221,107.135,99.987,867.968,918.514,812.797,924.322,845.701,978.363,846.55,988.942,854.503,990.857,854.008,987.162,855.377,842.06,951.395,757.714,883.025,630.884,853.293,601.686,919.985,626.96,-29.928,-41.817,34.467,13.552,86.562,17.331,107.427,20.765,106.574,19.097,99.266,17.074,135.694,130.876,250.94,266.417,382.15,386.049,393.843,390.72,442.511,470.363
