time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.000,139.724,79.103,62.232,82.809,1112.966,1091.379,1187.628,1132.412,1100.299,1074.047,1075.693,1057.455,1071.334,1053.192,1077.882,1060.936,1144.83,1139.009,1084.246,1151.824,1116.129,1285.114,1136.42,1302.737,1053.519,1338.601,430.0,438.9,516.231,520.125,536.584,540.921,549.179,550.402,531.835,539.24,527.445,534.795,618.431,620.43,740.789,750.016,869.288,710.421,891.826,684.503,899.152,748.399
0.040,137.69,68.7,63.482,83.853,1112.752,1091.443,1180.697,1132.163,1088.783,1075.708,1067.071,1059.193,1064.888,1055.106,1071.416,1062.388,1145.276,1138.593,1091.44,1123.362,1135.189,1265.197,1158.619,1285.223,1075.849,1320.998,430.196,438.447,520.692,518.749,537.531,540.13,550.322,550.187,532.814,538.48,528.742,534.404,616.691,618.585,741.33,749.491,868.754,712.379,890.409,686.45,899.136,752.227
0.080,130.434,66.89,67.183,87.63,1113.826,1090.271,1173.046,1124.595,1083.866,1071.823,1062.776,1056.339,1059.779,1052.038,1066.862,1058.611,1147.735,1134.818,1099.107,1109.461,1166.494,1247.139,1194.15,1270.672,1104.639,1296.745,429.071,437.492,521.972,519.178,537.213,538.827,547.278,545.544,529.869,533.228,527.164,530.981,615.512,617.138,743.271,744.2,866.213,715.376,887.22,693.737,899.009,767.4
0.120,129.819,66.301,67.113,70.219,1110.803,1095.751,1156.484,1153.455,1072.762,1078.121,1050.82,1061.531,1047.167,1057.425,1054.841,1063.436,1150.638,1135.059,1114.124,1089.277,1195.552,1229.778,1224.514,1258.733,1141.349,1264.479,427.463,432.206,520.332,507.946,525.167,531.73,529.31,536.549,516.524,526.68,516.339,525.753,614.215,615.066,743.328,736.442,862.296,728.997,882.937,713.668,897.628,791.482
0.160,141.373,68.435,65.721,69.261,1106.249,1105.369,1141.547,1175.024,1059.592,1111.738,1036.427,1095.749,1035.968,1092.336,1043.15,1096.299,1151.075,1135.975,1143.743,1071.918,1226.442,1213.099,1251.395,1237.324,1173.605,1226.776,422.835,427.1,517.63,493.409,512.107,523.827,513.286,526.405,501.016,520.864,501.203,518.538,611.045,612.652,744.206,723.326,860.253,744.419,878.167,735.752,895.237,804.73
0.200,145.625,74.883,58.87,63.98,1098.987,1108.592,1129.917,1185.858,1050.153,1130.721,1026.467,1115.341,1028.402,1111.229,1035.641,1116.516,1150.823,1135.453,1162.513,1061.547,1250.242,1191.278,1279.568,1219.905,1199.999,1196.942,420.262,421.535,515.086,479.603,496.576,507.761,493.273,511.738,482.476,506.997,483.742,503.808,606.2,608.453,743.39,710.176,850.784,759.671,869.685,759.963,888.484,818.554
0.240,149.419,84.649,58.726,66.803,1095.087,1110.198,1121.999,1191.742,1045.76,1144.969,1022.906,1131.352,1025.788,1125.766,1032.41,1131.777,1150.706,1133.519,1182.18,1054.2,1274.22,1169.326,1302.414,1195.95,1235.238,1155.384,410.184,408.873,505.294,469.818,484.187,496.854,480.733,501.61,468.436,495.485,469.419,492.899,598.825,600.419,738.561,695.738,836.319,774.607,854.778,779.757,887.908,839.716
0.280,155.957,96.996,54.113,65.034,1088.53,1114.537,1116.316,1193.845,1039.615,1146.258,1015.78,1134.509,1021.739,1128.308,1028.582,1132.426,1149.927,1133.708,1197.648,1050.141,1292.295,1139.604,1322.288,1167.666,1265.398,1112.673,405.621,402.088,498.343,461.071,471.625,486.796,467.466,491.032,454.38,485.584,455.577,483.667,592.66,591.75,729.701,682.088,830.34,787.828,844.156,799.805,887.855,852.282
0.320,163.887,113.106,57.846,64.604,1084.093,1116.148,1103.817,1193.396,1033.557,1140.037,1010.109,1128.146,1016.202,1123.053,1023.228,1126.316,1146.742,1130.11,1211.124,1048.366,1306.004,1111.342,1333.657,1138.253,1285.729,1070.088,397.059,396.761,486.148,453.813,461.032,482.371,456.182,485.529,443.296,480.862,445.21,479.103,583.235,581.587,716.362,677.429,822.027,804.111,830.957,822.519,886.866,858.393
0.360,170.583,127.884,54.542,64.981,1087.406,1113.622,1101.848,1191.785,1035.911,1141.612,1012.956,1128.905,1018.032,1123.35,1024.335,1127.203,1145.851,1122.033,1221.521,1047.022,1314.555,1080.713,1336.322,1101.419,1306.401,1027.799,395.82,393.28,487.062,443.411,454.24,475.136,448.447,479.199,436.749,475.161,438.377,471.701,585.161,585.371,705.195,680.946,809.817,816.178,816.269,839.718,885.27,857.468
