time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
0.000,153.588,97.88,126.266,108.417,717.959,734.241,744.129,768.741,838.122,884.528,852.281,908.852,867.7,911.7,869.33,904.656,492.826,499.405,548.628,667.043,530.724,574.233,462.584,533.291,535.482,615.45,152.718,174.444,264.591,309.573,304.682,317.862,299.865,325.444,298.85,309.699,296.255,304.736,235.122,247.026,411.807,372.12,526.339,540.586,557.712,563.118,548.313,588.964
0.033,158.25,106.122,120.044,106.632,720.488,736.882,746.088,769.403,849.763,887.438,880.352,911.461,879.793,912.704,875.012,905.362,494.71,503.021,548.046,659.879,534.66,576.466,462.502,538.268,576.229,643.77,153.707,174.476,272.635,310.784,306.114,317.41,308.311,325.047,299.254,308.942,296.422,304.199,234.123,242.975,417.757,379.907,555.414,558.802,593.54,585.777,585.599,601.49
0.067,133.572,116.627,118.258,106.139,722.772,737.96,749.678,769.388,859.19,887.394,890.57,911.481,889.44,912.649,882.099,905.082,498.945,504.775,596.772,645.517,548.595,575.162,479.134,538.025,593.059,639.306,154.901,174.427,277.22,310.781,308.318,317.294,315.024,325.067,301.465,308.98,297.732,304.202,234.137,243.08,405.165,398.967,566.166,579.459,593.188,601.818,599.599,623.745
0.100,120.581,123.813,119.516,105.472,725.67,739.44,750.772,769.355,860.096,887.359,891.474,911.515,891.211,912.643,884.738,904.987,505.246,506.465,612.918,633.802,546.404,574.445,484.515,535.634,586.76,639.855,154.95,174.42,276.317,310.794,311.482,317.183,318.892,325.101,304.21,309.053,299.544,304.21,233.764,243.146,388.136,405.079,533.927,587.678,557.717,614.605,568.651,636.86
0.133,101.655,133.269,120.11,104.483,726.64,741.587,754.165,769.867,861.339,888.196,892.487,912.725,891.156,913.15,884.918,905.236,510.334,507.325,630.842,615.426,533.605,565.6,488.728,529.533,577.845,638.422,155.729,173.74,278.151,311.215,311.816,317.124,318.541,325.11,304.22,309.056,299.755,304.213,234.201,243.263,372.815,418.156,500.264,603.974,518.347,637.557,518.293,649.121
0.167,68.413,141.223,120.595,104.449,726.654,743.144,758.136,771.566,862.895,888.703,890.464,913.424,892.467,913.505,885.536,905.657,519.89,508.09,657.304,596.109,529.901,551.415,490.3,517.045,559.998,629.014,156.646,173.236,280.937,311.21,311.733,316.958,318.176,324.966,304.125,308.861,299.882,304.124,237.185,244.525,340.156,436.814,418.432,613.689,430.301,646.342,424.078,661.271
0.200,61.608,140.26,120.929,104.535,727.176,743.198,758.109,771.799,861.747,888.636,890.933,913.941,893.168,913.722,886.07,905.978,528.169,508.189,676.06,587.262,533.874,530.9,502.201,499.352,558.823,604.876,156.707,172.112,280.159,311.112,311.572,317.047,317.466,324.996,304.145,309.095,300.16,304.41,238.812,245.02,319.483,445.338,411.806,616.777,422.045,645.51,424.796,668.184
0.234,60.926,134.46,122.873,104.62,727.081,744.391,757.454,773.485,857.657,890.242,890.646,916.355,892.235,915.923,885.829,908.441,527.569,508.086,678.141,587.164,533.129,514.42,499.289,484.425,549.48,580.496,156.618,171.312,278.141,311.107,312.33,316.947,315.724,324.886,304.107,309.117,300.144,304.447,238.864,246.404,317.857,446.411,412.91,610.049,418.254,634.588,434.543,666.736
0.267,68.964,127.571,122.621,105.052,729.708,745.432,759.17,775.733,859.928,891.891,893.829,919.251,895.668,918.693,888.338,910.891,528.84,508.185,662.779,589.895,522.449,497.13,497.802,466.172,531.274,552.207,156.827,171.014,277.86,311.143,312.436,316.928,316.562,324.949,304.588,309.517,300.977,304.766,238.913,246.145,335.173,441.026,427.213,603.783,433.725,628.817,444.803,660.174
0.300,73.138,119.052,121.993,104.954,731.243,747.08,759.387,777.421,862.044,895.767,897.062,922.834,897.284,921.863,890.031,914.21,527.626,508.482,652.888,595.9,506.149,488.29,481.984,444.338,509.088,530.038,156.667,170.513,277.41,311.141,312.501,316.885,316.865,325.043,305.109,309.905,301.524,305.048,238.869,245.255,338.371,438.799,439.887,583.48,447.112,598.623,453.346,654.911
