time_s,knee_left_deg_3d,knee_right_deg_3d,elbow_left_deg_3d,elbow_right_deg_3d,torso_yaw_deg,torso_pitch_deg,torso_roll_deg,root_x_m,root_y_m,root_z_m,nose_x,left_eye_inner_x,left_eye_x,left_eye_outer_x,right_eye_inner_x,right_eye_x,right_eye_outer_x,left_ear_x,right_ear_x,mouth_left_x,mouth_right_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,nose_y,left_eye_inner_y,left_eye_y,left_eye_outer_y,right_eye_inner_y,right_eye_y,right_eye_outer_y,left_ear_y,right_ear_y,mouth_left_y,mouth_right_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y,nose_z,left_eye_inner_z,left_eye_z,left_eye_outer_z,right_eye_inner_z,right_eye_z,right_eye_outer_z,left_ear_z,right_ear_z,mouth_left_z,mouth_right_z,left_shoulder_z,right_shoulder_z,left_elbow_z,right_elbow_z,left_wrist_z,right_wrist_z,left_pinky_z,right_pinky_z,left_index_z,right_index_z,left_thumb_z,right_thumb_z,left_hip_z,right_hip_z,left_knee_z,right_knee_z,left_ankle_z,right_ankle_z,left_heel_z,right_heel_z,left_foot_index_z,right_foot_index_z
0.000,107.379,152.885,155.613,131.289,10.118,76.911,171.573,0.001325,-0.002717,0.001682,0.285689,0.276435,0.277221,0.276588,0.282312,0.285284,0.289408,0.204663,0.180535,0.269491,0.259508,0.113263,0.186809,-0.000806,0.239835,-0.019991,0.348707,-0.045464,0.401543,-0.03533,0.43398,-0.013693,0.36114,0.020101,-0.01745,0.227913,-0.190634,0.036246,-0.55895,-0.007936,-0.600647,0.063728,-0.55685,-0.47738,-0.499161,-0.499863,-0.499762,-0.50502,-0.502418,-0.491526,-0.533857,-0.470532,-0.488223,-0.446483,-0.42865,-0.474599,-0.275528,-0.294334,-0.111223,-0.199458,-0.095314,-0.195864,-0.080101,-0.220157,-0.080587,-0.209369,0.00761,-0.013043,0.2918,0.290873,0.634238,0.58549,0.665928,0.610408,0.74799,0.683401,-0.081319,-0.077592,-0.067343,-0.070697,-0.113644,-0.126341,-0.105666,-0.021894,-0.137432,-0.040616,-0.10226,0.136705,-0.101934,0.274572,-0.212762,0.438001,-0.19529,0.473731,-0.245675,0.466759,-0.218883,0.439371,-0.189745,0.110221,-0.106856,-0.002027,-0.148135,0.109077,-0.067689,0.130738,-0.096576,0.13014,-0.158198
0.040,136.877,151.757,57.387,128.415,-24.411,36.132,126.867,0.001987,-0.003361,0.002236,0.092482,0.077606,0.07995,0.083999,0.098193,0.103467,0.104934,0.051151,0.074713,0.092161,0.08968,-0.023752,0.183783,-0.118692,0.241226,-0.042316,0.347741,-0.045524,0.404448,-0.03074,0.427374,-0.028307,0.356662,-0.01333,0.017305,0.179321,-0.177812,0.131325,-0.548204,0.10867,-0.589316,0.18937,-0.550441,-0.315988,-0.323973,-0.322969,-0.32439,-0.335744,-0.331639,-0.322245,-0.332349,-0.300162,-0.315803,-0.284618,-0.25591,-0.387794,-0.248179,-0.309536,-0.141196,-0.241082,-0.148293,-0.240649,-0.127,-0.248858,-0.116038,-0.246877,0.029438,-0.03616,0.328411,0.276442,0.654082,0.495338,0.690306,0.517785,0.735455,0.554907,0.321336,0.321868,0.329183,0.32246,0.300373,0.288173,0.305413,0.324277,0.281994,0.332211,0.291167,0.340402,0.219309,0.317512,0.160891,0.416681,0.198248,0.432376,0.169263,0.428424,0.182452,0.418971,0.201283,0.091831,-0.087358,0.004731,-0.183424,0.006313,-0.230127,0.012241,-0.276195,0.025482,-0.321442
0.080,155.341,132.097,46.574,109.801,-25.369,34.463,123.42,0.002458,-0.003511,0.002208,0.117261,0.102608,0.105197,0.109024,0.121194,0.126155,0.127074,0.071879,0.078837,0.114893,0.107155,-0.014336,0.188543,-0.117684,0.254572,-0.047189,0.340684,-0.045549,0.395808,-0.029206,0.404925,-0.034372,0.342625,-0.025562,0.030478,0.134131,-0.119986,0.151158,-0.53533,0.134669,-0.582224,0.224724,-0.555439,-0.304073,-0.314363,-0.313997,-0.315055,-0.321657,-0.317454,-0.307745,-0.330605,-0.286041,-0.307149,-0.272683,-0.25951,-0.368646,-0.254142,-0.316453,-0.187138,-0.285314,-0.193644,-0.288612,-0.165569,-0.284837,-0.160439,-0.290607,0.035143,-0.042164,0.364093,0.277383,0.698619,0.407715,0.736825,0.415439,0.73993,0.453991,0.329373,0.334717,0.341071,0.335686,0.308286,0.296958,0.314617,0.353645,0.295756,0.347048,0.301944,0.375724,0.239303,0.34836,0.196669,0.419852,0.276893,0.43909,0.255173,0.434391,0.273316,0.42156,0.282002,0.090762,-0.086346,0.018489,-0.227339,0.007969,-0.282054,0.012274,-0.325555,0.026393,-0.349697
0.120,154.653,96.98,163.74,157.682,-179.348,53.39,-27.605,0.002555,-0.00251,0.002087,0.162577,0.147781,0.149866,0.153265,0.163771,0.167843,0.169801,0.141229,0.097986,0.129691,0.145619,0.159677,0.120346,0.196475,0.011835,0.297004,-0.006623,0.30629,0.015645,0.305565,0.067228,0.301306,0.006968,0.004195,0.000915,0.132571,-0.051738,0.132192,-0.453466,0.099384,-0.501569,0.179511,-0.53126,-0.319757,-0.323204,-0.318001,-0.319976,-0.336171,-0.3344,-0.32553,-0.37335,-0.327764,-0.345191,-0.308517,-0.266188,-0.373457,-0.256161,-0.126222,-0.181452,0.041042,-0.188128,0.070126,-0.177919,0.073655,-0.154973,0.048618,0.023919,-0.028938,0.40152,0.310556,0.778837,0.356552,0.814605,0.348222,0.834125,0.429076,-0.317636,-0.31545,-0.305337,-0.308213,-0.33905,-0.349767,-0.3274,-0.235403,-0.289367,-0.266765,-0.309058,-0.023226,-0.171461,0.151579,-0.208502,0.39594,-0.190156,0.436034,-0.229967,0.420428,-0.22583,0.393988,-0.194691,0.091786,-0.087612,0.037199,-0.212327,0.098637,-0.07015,0.106226,-0.08133,0.066015,-0.080779
0.160,149.994,75.409,156.131,143.495,-179.794,51.478,-29.032,0.002809,-0.001704,0.001769,0.167268,0.166725,0.168647,0.169369,0.172377,0.17563,0.177521,0.169497,0.107449,0.160872,0.154903,0.194996,0.115437,0.198486,0.072602,0.187071,0.114621,0.166904,0.150951,0.164141,0.194642,0.180923,0.127812,0.012802,-0.007184,0.040282,0.024855,-0.050923,-0.377341,-0.081502,-0.425085,-0.005579,-0.467465,-0.353999,-0.339623,-0.32628,-0.328395,-0.344206,-0.343295,-0.332721,-0.383218,-0.365581,-0.379745,-0.352823,-0.316922,-0.381587,-0.192937,-0.159388,-0.072771,-0.053466,-0.057878,-0.032322,-0.069006,-0.054453,-0.050069,-0.058338,0.019502,-0.02291,0.409208,0.337564,0.753449,0.310489,0.78518,0.293054,0.818731,0.360941,-0.305798,-0.308308,-0.29882,-0.302434,-0.332101,-0.345844,-0.323519,-0.242056,-0.294475,-0.262908,-0.308354,-0.039762,-0.197366,-0.01131,-0.212174,-0.032383,-0.185359,-0.038435,-0.227904,-0.047699,-0.222905,-0.040037,-0.187374,0.091508,-0.087971,0.049949,-0.189669,0.161825,0.004158,0.179441,-0.005611,0.164675,0.006537
0.200,119.612,72.527,142.774,125.09,-179.2,37.362,-32.193,0.002261,-0.001625,0.001715,0.177898,0.171097,0.172646,0.174973,0.182649,0.185878,0.187994,0.179456,0.108821,0.164563,0.163431,0.205542,0.08247,0.162275,0.028516,0.175641,0.087851,0.166868,0.128782,0.174201,0.17581,0.176567,0.105788,0.031082,-0.02656,0.077338,0.082896,-0.176114,-0.247252,-0.224535,-0.282804,-0.223896,-0.26829,-0.42527,-0.439181,-0.433839,-0.435039,-0.438387,-0.436131,-0.42514,-0.46586,-0.41698,-0.430619,-0.397776,-0.321591,-0.393719,-0.184886,-0.148811,-0.082417,-0.084596,-0.075053,-0.075095,-0.075251,-0.096661,-0.062091,-0.097483,0.01985,-0.023099,0.405211,0.323335,0.634521,0.354406,0.644523,0.344248,0.70182,0.378667,-0.386555,-0.391176,-0.379875,-0.382852,-0.417159,-0.432176,-0.408247,-0.312621,-0.37677,-0.338817,-0.388788,-0.102165,-0.252655,-0.047432,-0.278802,-0.060288,-0.303689,-0.064213,-0.357698,-0.077284,-0.357465,-0.070284,-0.311823,0.091976,-0.088546,0.030747,-0.180706,0.142361,0.012878,0.15975,-0.000979,0.145344,-0.041088
0.240,142.504,84.092,147.949,131.294,-143.218,62.583,18.641,0.002366,-0.001611,0.001725,0.211076,0.206082,0.208139,0.208792,0.211445,0.214092,0.21512,0.189524,0.124029,0.202057,0.188371,0.18071,0.105296,0.228687,0.081615,0.296242,0.107809,0.303396,0.137727,0.298882,0.170709,0.297537,0.11377,0.008065,-0.003332,-0.055845,0.134742,-0.292228,-0.178588,-0.337992,-0.211457,-0.304255,-0.177849,-0.464967,-0.486647,-0.484896,-0.485317,-0.488228,-0.486239,-0.475252,-0.508514,-0.454581,-0.465863,-0.428661,-0.368565,-0.402776,-0.197211,-0.140645,-0.09606,-0.102371,-0.107609,-0.089671,-0.128992,-0.117195,-0.089992,-0.115183,0.019717,-0.02294,0.398975,0.242902,0.641384,0.401206,0.660434,0.404825,0.716707,0.44968,-0.069403,-0.060454,-0.052059,-0.055239,-0.092379,-0.10513,-0.084069,0.001921,-0.072098,-0.029305,-0.080356,0.147056,-0.021886,0.107163,-0.125761,0.137332,-0.213417,0.151048,-0.267446,0.141403,-0.284462,0.133176,-0.221717,0.092024,-0.088574,0.030023,-0.174789,0.061372,-0.049768,0.073255,-0.077367,0.052745,-0.096357
0.280,96.585,150.305,134.289,140.447,-131.198,40.645,39.04,0.002357,-0.001893,0.002452,0.157616,0.157339,0.158128,0.158958,0.160495,0.163829,0.164413,0.157943,0.099728,0.164349,0.143225,0.169314,0.086992,0.247591,0.024786,0.344152,0.074546,0.354848,0.113124,0.344076,0.148202,0.345116,0.08551,0.015113,-0.0104,0.163876,-0.146933,-0.173901,-0.447719,-0.262417,-0.473746,-0.167092,-0.398735,-0.279685,-0.282013,-0.282321,-0.282751,-0.291579,-0.288675,-0.277322,-0.322682,-0.281453,-0.294573,-0.264183,-0.287012,-0.373611,-0.237891,-0.165911,-0.238922,-0.104633,-0.253883,-0.095371,-0.27129,-0.122973,-0.231792,-0.116186,0.022896,-0.026682,0.295335,0.256005,0.553101,0.536514,0.574542,0.561948,0.626069,0.586474,0.154666,0.160803,0.166956,0.162599,0.133909,0.121199,0.139743,0.20662,0.141637,0.179276,0.134457,0.247657,0.139931,0.183058,-0.045987,0.181571,-0.213198,0.178709,-0.275793,0.169601,-0.270525,0.176724,-0.216799,0.084215,-0.07931,-0.014285,-0.134033,0.026686,-0.054028,0.039354,-0.0964,0.020531,-0.171191
0.320,103.172,156.278,140.103,150.695,-130.947,45.545,39.363,0.00227,-0.001929,0.002322,0.178462,0.178731,0.178126,0.180665,0.180693,0.185052,0.184229,0.176646,0.133489,0.18508,0.165988,0.17511,0.089842,0.21789,0.025162,0.315114,0.067856,0.322245,0.094792,0.328381,0.150369,0.322826,0.083352,0.015321,-0.010782,0.253467,-0.177799,0.067625,-0.507249,0.029138,-0.53289,0.102304,-0.442096,-0.375301,-0.379393,-0.378606,-0.384161,-0.398382,-0.398864,-0.385415,-0.411415,-0.410737,-0.373385,-0.356847,-0.312815,-0.460319,-0.233873,-0.246799,-0.22339,-0.11669,-0.234353,-0.106089,-0.243745,-0.120765,-0.212967,-0.124372,0.028488,-0.032346,0.301952,0.257417,0.590358,0.523625,0.614618,0.545819,0.657266,0.584286,0.165474,0.179657,0.186128,0.179314,0.153794,0.14102,0.159083,0.229312,0.174787,0.192437,0.147269,0.270004,0.13729,0.175951,-0.065534,0.092876,-0.341227,0.079561,-0.40618,0.078255,-0.395714,0.091877,-0.343408,0.085007,-0.080363,-0.013407,-0.072404,0.036618,0.022026,0.043143,-0.01833,0.040311,-0.102773
0.360,134.865,149.575,144.287,135.852,-145.583,45.719,19.58,0.001872,-0.002294,0.002609,0.173046,0.170662,0.170952,0.171945,0.177728,0.181398,0.181121,0.16611,0.127973,0.182448,0.164214,0.17072,0.100547,0.197117,0.052223,0.312573,0.103852,0.329647,0.134459,0.338374,0.184048,0.325619,0.117893,0.024157,-0.020414,0.231798,-0.20657,0.216258,-0.603078,0.191722,-0.647203,0.26557,-0.636815,-0.358806,-0.369888,-0.371026,-0.37138,-0.377236,-0.374738,-0.363064,-0.412697,-0.363471,-0.370233,-0.3365,-0.317286,-0.41713,-0.268359,-0.179303,-0.27299,-0.129426,-0.304519,-0.152106,-0.314903,-0.190525,-0.25991,-0.150914,0.02128,-0.025869,0.307884,0.258372,0.637576,0.48086,0.670531,0.500933,0.697519,0.555929,0.063065,0.047033,0.053347,0.055203,0.024886,0.016422,0.033926,0.060296,-0.005844,0.080305,0.039839,0.143876,0.048404,0.211957,-0.126177,0.419843,-0.269669,0.456353,-0.324649,0.445753,-0.312184,0.419549,-0.27013,0.079434,-0.074216,-0.010739,-0.088948,0.044979,-0.001711,0.055254,-0.033815,0.031445,-0.098044
