time_s,knee_left_deg,knee_right_deg,elbow_left_deg,elbow_right_deg,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_pinky_x,right_pinky_x,left_index_x,right_index_x,left_thumb_x,right_thumb_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,left_heel_x,right_heel_x,left_foot_index_x,right_foot_index_x,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_pinky_y,right_pinky_y,left_index_y,right_index_y,left_thumb_y,right_thumb_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y,left_heel_y,right_heel_y,left_foot_index_y,right_foot_index_y
1.600,150.304,79.755,161.61,179.267,520.5,492.346,549.325,473.172,572.465,454.857,582.036,449.664,582.021,449.389,577.961,450.365,457.817,445.354,419.084,484.035,366.442,430.104,358.052,419.374,349.569,435.582,444.891,415.977,469.991,380.379,479.651,345.309,478.308,334.13,475.134,331.157,476.557,335.223,489.055,482.752,534.393,524.306,553.341,558.935,549.049,561.127,569.972,587.505
1.640,155.674,77.402,145.928,172.424,530.7,497.225,552.564,473.245,573.809,455.245,583.538,450.196,582.629,449.73,578.201,450.712,457.818,443.718,418.193,486.363,366.166,431.787,356.475,419.914,351.48,440.258,444.971,416.232,473.211,381.502,480.187,346.248,479.395,334.45,475.295,331.937,476.557,336.389,490.199,482.169,534.206,523.523,557.014,559.348,553.295,562.007,582.877,589.229
1.680,158.996,79.425,141.392,170.216,534.225,499.878,554.603,473.248,574.784,455.358,583.894,451.097,582.845,450.987,578.491,451.748,458.737,443.79,417.825,488.458,366.168,435.998,356.267,423.392,352.741,445.715,444.972,416.052,474.571,380.443,480.682,345.341,480.191,333.991,475.754,331.512,476.671,336.227,489.831,480.233,533.066,522.693,557.791,560.634,554.642,564.722,583.874,590.597
1.720,162.985,81.167,139.554,169.789,537.163,501.838,556.154,474.379,575.727,456.273,584.478,452.32,583.642,452.009,579.38,452.416,460.679,444.722,417.612,490.967,366.192,439.656,356.441,426.601,354.241,449.95,444.972,415.649,475.343,380.13,481.527,345.343,481.2,333.83,476.746,331.512,477.22,336.553,489.524,478.86,532.039,521.367,558.939,562.296,557.012,566.678,585.589,591.185
1.760,165.797,83.388,142.602,171.587,538.135,505.014,557.335,476.707,576.138,457.007,584.41,453.256,584.086,452.801,580.197,453.168,462.102,446.502,417.631,493.57,366.483,444.307,356.915,430.97,355.701,456.197,444.966,415.47,475.054,379.343,481.92,344.762,482.657,333.179,478.086,331.337,477.89,336.524,488.545,477.419,530.604,519.978,559.19,563.208,556.965,567.83,585.186,591.761
1.800,168.509,84.41,146.365,171.511,537.699,506.904,558.226,478.3,577.094,458.058,585.293,454.449,585.784,454.074,581.864,454.771,463.462,448.85,417.646,496.384,367.013,448.078,357.435,435.137,358.187,463.208,443.978,414.781,474.771,379.23,482.655,344.633,484.306,333.021,480.078,331.242,479.476,336.425,487.216,477.405,529.011,519.364,559.291,564.369,557.276,569.225,585.946,591.846
1.840,171.464,84.25,148.493,170.925,539.004,507.563,559.284,479.175,578.157,459.016,587.408,454.918,588.138,454.668,583.801,455.629,465.118,451.231,417.651,499.997,368.372,451.62,358.821,438.49,359.314,468.155,443.783,413.936,474.599,379.247,483.457,344.639,485.252,333.027,480.964,331.28,480.32,336.452,486.563,477.108,528.208,518.341,559.877,565.116,557.912,570.371,585.893,591.778
1.880,173.723,84.476,151.697,171.385,539.485,508.672,560.097,480.295,578.692,459.54,587.894,455.702,588.839,456.001,584.44,457.005,466.053,451.923,417.645,502.776,369.347,455.444,359.888,443.315,361.164,473.132,443.749,413.576,474.883,379.039,484.849,344.214,486.639,332.617,482.329,330.73,481.636,335.94,485.805,476.618,527.712,516.895,561.037,566.074,558.931,572.078,585.913,591.782
1.920,177.04,84.149,153.655,170.434,541.805,509.31,561.359,480.535,578.906,459.87,588.721,456.093,588.871,456.963,584.092,458.081,467.566,452.863,417.692,505.175,371.127,458.233,361.868,446.221,360.935,475.736,443.83,413.229,474.925,378.921,485.674,343.73,488.214,332.211,484.031,330.277,483.127,335.478,485.903,476.418,526.79,515.723,561.102,566.468,559.088,572.656,585.244,591.703
1.960,179.517,85.289,154.717,170.134,544.889,510.21,563.488,480.961,579.601,459.715,589.409,456.328,588.911,458.014,584.002,458.671,470.065,454.923,417.995,507.556,372.521,462.24,363.5,450.66,361.747,479.209,444.229,412.873,475.563,378.873,486.443,343.286,489.217,331.732,484.95,329.614,484.17,334.687,486.001,476.25,526.361,515.046,561.0,566.984,558.691,573.611,584.791,591.666
2.000,178.609,86.763,157.18,169.0,547.158,511.661,565.81,481.132,581.266,459.591,589.945,456.141,589.721,457.966,585.198,458.567,473.073,458.197,418.803,509.531,373.124,465.479,364.039,453.823,362.651,481.76,445.593,412.536,477.054,378.871,488.498,343.308,491.533,331.706,486.681,329.621,485.815,334.581,486.032,476.2,525.877,514.515,561.152,567.063,558.921,574.065,584.478,591.349
